category_id,category_level,category_level_1,display_name
11036194,1,Mẹ & Bé,Mẹ & Bé
11036195,2,Mẹ & Bé,Đồ dùng du lịch cho bé
11036204,2,Mẹ & Bé,Đồ dùng ăn dặm cho bé
11036213,2,Mẹ & Bé,Phụ kiện cho mẹ
11036217,2,Mẹ & Bé,Chăm sóc sức khỏe mẹ
11036222,2,Mẹ & Bé,Đồ dùng phòng tắm & Chăm sóc cơ thể bé
11036233,2,Mẹ & Bé,Đồ dùng phòng ngủ cho bé
11036240,2,Mẹ & Bé,An toàn cho bé
11036248,2,Mẹ & Bé,Thực phẩm cho bé
11036253,2,Mẹ & Bé,Chăm sóc sức khỏe bé
11036260,2,Mẹ & Bé,Tã & bô em bé
11036266,2,Mẹ & Bé,Đồ chơi
11036277,2,Mẹ & Bé,Bộ & Gói quà tặng
11036278,2,Mẹ & Bé,Khác
11059299,2,Mẹ & Bé,Sữa công thức trên 24 tháng
11059300,2,Mẹ & Bé,Sữa công thức 0-24 tháng tuổi
11036030,1,Điện Thoại & Phụ Kiện,Điện Thoại & Phụ Kiện
11036031,2,Điện Thoại & Phụ Kiện,Điện thoại
11036041,2,Điện Thoại & Phụ Kiện,Máy tính bảng
11036048,2,Điện Thoại & Phụ Kiện,Pin Dự Phòng
11036054,2,Điện Thoại & Phụ Kiện,"Pin Gắn Trong, Cáp và Bộ Sạc"
11036060,2,Điện Thoại & Phụ Kiện,"Ốp lưng, bao da, Miếng dán điện thoại"
11036064,2,Điện Thoại & Phụ Kiện,Bảo vệ màn hình
11036074,2,Điện Thoại & Phụ Kiện,Đế giữ điện thoại
11036083,2,Điện Thoại & Phụ Kiện,Thẻ nhớ
11036084,2,Điện Thoại & Phụ Kiện,Sim
11036091,2,Điện Thoại & Phụ Kiện,Phụ kiện khác
11036097,2,Điện Thoại & Phụ Kiện,Thiết bị khác
11035954,1,Máy Tính & Laptop,Máy Tính & Laptop
11035955,2,Máy Tính & Laptop,Máy Tính Bàn
11035961,2,Máy Tính & Laptop,Màn Hình
11035962,2,Máy Tính & Laptop,Linh Kiện Máy Tính
11035975,2,Máy Tính & Laptop,Thiết Bị Lưu Trữ
11035983,2,Máy Tính & Laptop,Thiết Bị Mạng
11035993,2,Máy Tính & Laptop,"Máy In, Máy Scan & Máy Chiếu"
11036000,2,Máy Tính & Laptop,Phụ Kiện Máy Tính
11036015,2,Máy Tính & Laptop,Laptop
11036016,2,Máy Tính & Laptop,Khác
11036023,2,Máy Tính & Laptop,Gaming
11036932,1,Đồ Chơi,Đồ Chơi
11036933,2,Đồ Chơi,Sở thích & Sưu tầm
11036939,2,Đồ Chơi,Đồ chơi giải trí
11036946,2,Đồ Chơi,Đồ chơi giáo dục
11036954,2,Đồ Chơi,Đồ chơi cho trẻ sơ sinh & trẻ nhỏ
11036960,2,Đồ Chơi,Đồ chơi vận động & ngoài trời
11036966,2,Đồ Chơi,Búp bê & Đồ chơi nhồi bông
11036101,1,Máy Ảnh & Máy Quay Phim,Máy Ảnh & Máy Quay Phim
11036102,2,Máy Ảnh & Máy Quay Phim,Máy ảnh - Máy quay phim
11036109,2,Máy Ảnh & Máy Quay Phim,Camera giám sát & Camera hệ thống
11036114,2,Máy Ảnh & Máy Quay Phim,Thẻ nhớ
11036115,2,Máy Ảnh & Máy Quay Phim,Ống kính
11036119,2,Máy Ảnh & Máy Quay Phim,Phụ kiện máy ảnh
11036129,2,Máy Ảnh & Máy Quay Phim,Máy bay camera & Phụ kiện
11036345,1,Sức Khỏe,Sức Khỏe
11036352,2,Sức Khỏe,Vật tư y tế
11036373,2,Sức Khỏe,Chống muỗi & xua đuổi côn trùng
11036346,2,Sức Khỏe,Thực phẩm chức năng
11036370,2,Sức Khỏe,Tã người lớn
11036348,2,Sức Khỏe,Hỗ trợ làm đẹp
11036375,2,Sức Khỏe,Hỗ trợ tình dục
11036372,2,Sức Khỏe,Dụng cụ massage và trị liệu
11036381,2,Sức Khỏe,Khác
11036670,1,Nhà Cửa & Đời Sống,Nhà Cửa & Đời Sống
11036683,2,Nhà Cửa & Đời Sống,"Chăn, Ga, Gối & Nệm"
11036695,2,Nhà Cửa & Đời Sống,Đồ nội thất
11036717,2,Nhà Cửa & Đời Sống,Trang trí nhà cửa
11036732,2,Nhà Cửa & Đời Sống,Dụng cụ & Thiết bị tiện ích
11036748,2,Nhà Cửa & Đời Sống,Đồ dùng nhà bếp và hộp đựng thực phẩm
11036760,2,Nhà Cửa & Đời Sống,Đèn
11036776,2,Nhà Cửa & Đời Sống,Ngoài trời & Sân vườn
11036671,2,Nhà Cửa & Đời Sống,Đồ dùng phòng tắm
11111670,2,Nhà Cửa & Đời Sống,Vật phẩm thờ cúng
11111669,2,Nhà Cửa & Đời Sống,Đồ trang trí tiệc
11111665,2,Nhà Cửa & Đời Sống,Chăm sóc nhà cửa và giặt ủi
11111668,2,Nhà Cửa & Đời Sống,Sắp xếp nhà cửa
11111666,2,Nhà Cửa & Đời Sống,Dụng cụ pha chế
11111664,2,Nhà Cửa & Đời Sống,Tinh dầu thơm phòng
11111667,2,Nhà Cửa & Đời Sống,Đồ dùng phòng ăn
11035825,1,Giày Dép Nữ,Giày Dép Nữ
11035826,2,Giày Dép Nữ,Bốt
11035830,2,Giày Dép Nữ,Giày Thể Thao/ Sneaker
11035831,2,Giày Dép Nữ,Giày Đế Bằng
11035837,2,Giày Dép Nữ,Giày Cao Gót
11035838,2,Giày Dép Nữ,Giày Đế Xuồng
11035839,2,Giày Dép Nữ,Xăng-đan Và Dép
11035845,2,Giày Dép Nữ,Phụ Kiện Giày
11035852,2,Giày Dép Nữ,Giày Khác
11116484,1,Dụng cụ và thiết bị tiện ích,Dụng cụ và thiết bị tiện ích
11116487,2,Dụng cụ và thiết bị tiện ích,Dụng cụ cầm tay
11116485,2,Dụng cụ và thiết bị tiện ích,Dụng cụ điện và thiết bị lớn
11116489,2,Dụng cụ và thiết bị tiện ích,Thiết bị mạch điện
11116488,2,Dụng cụ và thiết bị tiện ích,Vật liệu xây dựng
11116486,2,Dụng cụ và thiết bị tiện ích,Thiết bị và phụ kiện xây dựng
11036478,1,Chăm Sóc Thú Cưng,Chăm Sóc Thú Cưng
11036479,2,Chăm Sóc Thú Cưng,Thức ăn cho thú cưng
11036490,2,Chăm Sóc Thú Cưng,Phụ kiện cho thú cưng
11036498,2,Chăm Sóc Thú Cưng,Vệ sinh cho thú cưng
11036510,2,Chăm Sóc Thú Cưng,Quần áo thú cưng
11036519,2,Chăm Sóc Thú Cưng,Chăm sóc sức khỏe
11116223,2,Chăm Sóc Thú Cưng,Làm đẹp cho thú cưng
11036524,2,Chăm Sóc Thú Cưng,Khác
11035639,1,Thời Trang Nữ,Thời Trang Nữ
11035648,2,Thời Trang Nữ,Quần
11035652,2,Thời Trang Nữ,Quần đùi
11035656,2,Thời Trang Nữ,Chân váy
11035657,2,Thời Trang Nữ,Quần jeans
11035658,2,Thời Trang Nữ,Đầm/Váy
11035659,2,Thời Trang Nữ,Váy cưới
11035660,2,Thời Trang Nữ,Đồ liền thân
11035665,2,Thời Trang Nữ,"Áo khoác, Áo choàng & Vest"
11035672,2,Thời Trang Nữ,Áo len & Cardigan
11035673,2,Thời Trang Nữ,Hoodie và Áo nỉ
11035677,2,Thời Trang Nữ,Bộ
11035682,2,Thời Trang Nữ,Đồ lót
11035692,2,Thời Trang Nữ,Đồ ngủ
11035640,2,Thời Trang Nữ,Áo
11035730,2,Thời Trang Nữ,Đồ tập
11035697,2,Thời Trang Nữ,Đồ Bầu
11035705,2,Thời Trang Nữ,Đồ truyền thống
11035711,2,Thời Trang Nữ,Đồ hóa trang
11035713,2,Thời Trang Nữ,Vải
11035726,2,Thời Trang Nữ,Vớ/ Tất
11035712,2,Thời Trang Nữ,Khác
11036132,1,Thiết Bị Điện Tử,Thiết Bị Điện Tử
11036160,2,Thiết Bị Điện Tử,Thiết bị đeo thông minh
11036167,2,Thiết Bị Điện Tử,Phụ kiện tivi
11036172,2,Thiết Bị Điện Tử,Máy Game Console
11036182,2,Thiết Bị Điện Tử,Phụ kiện Console
11036184,2,Thiết Bị Điện Tử,Đĩa game
11036133,2,Thiết Bị Điện Tử,Linh phụ kiện
11036143,2,Thiết Bị Điện Tử,Tai nghe nhét tai
11036135,2,Thiết Bị Điện Tử,Loa
11036151,2,Thiết Bị Điện Tử,Tivi
11036157,2,Thiết Bị Điện Tử,Tivi Box
11109141,2,Thiết Bị Điện Tử,Headphones
11036793,1,Ô Tô & Xe Máy & Xe Đạp,Ô Tô & Xe Máy & Xe Đạp
11036794,2,Ô Tô & Xe Máy & Xe Đạp,"Xe đạp, xe điện"
11036804,2,Ô Tô & Xe Máy & Xe Đạp,"Mô tô, xe máy"
11036811,2,Ô Tô & Xe Máy & Xe Đạp,Xe Ô tô
11036817,2,Ô Tô & Xe Máy & Xe Đạp,Mũ bảo hiểm
11036824,2,Ô Tô & Xe Máy & Xe Đạp,Phụ kiện xe máy
11036846,2,Ô Tô & Xe Máy & Xe Đạp,Phụ kiện xe đạp
11108984,2,Ô Tô & Xe Máy & Xe Đạp,Phụ kiện bên trong ô tô
11108967,2,Ô Tô & Xe Máy & Xe Đạp,Dầu nhớt & dầu nhờn
